curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tinggi_muka_air_m,Banjir
26.0,11.0,136.97,5.35,1
33.5,15.0,137.58,5.33,1
14.5,32.0,130.4,5.22,1
61.5,3.0,132.4,5.24,0
5.0,53.0,113.84,4.93,0
44.0,22.0,115.41,4.95,1
13.5,13.0,134.46,5.28,1
9.5,4.0,110.89,4.88,0
5.5,15.5,101.73,4.7,0
13.0,11.0,133.8,5.24,1
1.0,6.5,109.99,4.83,0
1.1666666666666667,2.0,89.98,4.47,0
1.3333333333333333,3.875,71.52,4.08,0
1.5,5.75,66.83,3.98,0
2.642857142857143,7.625,61.74,3.86,0
3.7857142857142856,9.5,55.27,3.7,0
4.928571428571429,11.375,52.04,3.61,0
6.071428571428571,13.25,47.21,3.48,0
7.214285714285714,15.125,43.47,3.38,0
8.357142857142858,17.0,51.51,3.6,0
9.5,76.0,59.8,3.79,0
8.375,39.75,66.45,4.19,0
7.25,3.5,52.56,4.12,0
6.125,16.0,138.17000000000002,3.99,0
5.0,8.5,223.78,5.32,0
16.5,1.0,183.78,4.98,0
27.0,0.0,179.43,4.95,0
8.5,65.0,221.34,5.33,0
14.0,5.0,159.56,4.76,0
7.0,18.0,198.7,5.13,0
0.0,16.5,131.27,4.49,0
0.0,2.0,82.68,3.91,0
0.0,6.0,64.98,3.68,0
9.5,18.5,83.94,3.96,0
0.0,13.5,102.53,4.2,0
9.5,58.0,94.93,4.1,0
7.5,10.0,153.43,4.75,0
21.0,0.0,185.18,5.02,0
0.0,61.0,96.32,4.11,0
0.0,0.0,67.12,3.73,0
3.5,3.5,93.56,4.09,0
23.5,2.5,144.13,4.67,0
4.0,1.5,151.44,4.74,0
16.5,0.0,204.39,5.23,0
63.0,3.0,207.16,5.23,0
0.0,24.5,138.95,4.63,0
0.0,5.0,113.92,4.36,0
4.0,1.0,85.95,4.02,0
0.0,12.0,87.76,4.06,0
0.0,0.0,64.23,3.72,0
0.0,6.0,63.23,3.72,0
12.5,4.5,54.9,3.57,0
0.0,9.5,51.14,3.53,0
0.0,2.5,48.55,3.49,0
0.0,8.0,61.23,3.7,0
9.0,4.0,53.73,3.59,0
4.0,13.0,42.81,3.38,0
2.5,0.0,62.25,3.72,0
0.0,6.5,66.89,3.8,0
0.5,0.0,69.48,3.84,0
0.0,10.0,64.02,3.76,0
6.0,2.0,163.63,4.95,0
4.5,3.0,206.54,5.3,0
1.5,13.5,225.18,5.48,0
5.5,16.5,254.32,5.71,0
16.0,2.5,247.92,5.64,0
1.5,7.0,182.95,5.13,0
7.0,0.0,165.39,4.96,0
